,Mar_16_Provisions,Mar_14_Provisions,Mar_13_Sundry_Debtors,Mar_16_Total_Liabilities,Mar_16_Cash_and_Bank,Mar_15_Misc_Expenses,Mar_15_Total_Liabilities,Mar_17_Net_Current_Assessts,Mar_15_Gross_Block,Mar_14_Misc_Expenses,Mar_14_Secured_Loan,Mar_15_Total_Assests,Mar_15_Share_Capital,Mar_13_Misc_Expenses,Mar_13_Reserves_Surplus,Mar_16_Share_Capital,Mar_14_Net_Worth,Mar_16_Depreciation,Mar_16_Total_Current Liabilities,Mar_16_Investments,Mar_14_Share_Capital,Mar_17_Loans_And_Advances,Mar_15_Net_Block,Mar_13_Unsecured_Loan,Mar_17_Misc_Expenses,Mar_15_Reserves_Surplus,Mar_13_Net_Block,Mar_13_Net_Worth,Mar_15_Investments,Mar_14_Net_Current_Assessts,Mar_16_Unsecured_Loan,Mar_17_Total_Current_Assets,Mar_15_Secured_Loan,Mar_15_Total_Current Liabilities,Mar_15_Capital_Work_In_Progress,Mar_15_Current_Liabilities,Mar_16_Reserves_Surplus,Mar_13_Capital_Work_In_Progress,Mar_15_Unsecured_Loan,Mar_13_Depreciation,Mar_13_Net_Current_Assessts,Mar_16_Inventories,Mar_13_Total_Assests,Mar_14_Reserves_Surplus,Mar_14_Total_Liabilities,Mar_13_Total_Current_Assets,Mar_13_Total_Current Liabilities,Mar_13_Inventories,Mar_17_Inventories,Mar_13_Investments,Mar_15_Total_Current_Assets,Mar_15_Net_Worth,Mar_15_Net_Current_Assessts,Mar_13_Cash_and_Bank,Mar_14_Capital_Work_In_Progress,Mar_13_Share_Capital,Mar_13_Total_Liabilities,Mar_16_Misc_Expenses,Mar_17_Current_Liabilities,Mar_14_Sundry_Debtors,Mar_16_Net_Current_Assessts,Mar_13_Loans_And_Advances,Mar_15_Loans_And_Advances,Mar_16_Total_Current_Assets,Mar_14_Loans_And_Advances,Mar_16_Gross_Block,Mar_16_Current_Liabilities,Mar_17_Total_Assests,Mar_14_Total_Current_Assets,Mar_16_Secured_Loan,Mar_14_Unsecured_Loan,Mar_14_Total_Assests,Mar_13_Provisions,Mar_17_Total_Liabilities,Mar_17_Investments,Mar_17_Cash_and_Bank,Mar_14_Cash_and_Bank,Mar_13_Gross_Block,Mar_16_Capital_Work_In_Progress,Mar_17_Provisions,Mar_17_Capital_Work_In_Progress,Mar_14_Depreciation,Mar_15_Provisions,Mar_16_Loans_And_Advances,Mar_15_Inventories,Mar_17_Net_Worth,Mar_15_Cash_and_Bank,Mar_16_Sundry_Debtors,Mar_14_Inventories,Mar_16_Net_Block,Mar_17_Total_Current Liabilities,Mar_17_Gross_Block,Mar_14_Total_Current Liabilities,Mar_17_Depreciation,Mar_13_Secured_Loan,Mar_14_Net_Block,Mar_17_Secured_Loan,Mar_17_Sundry_Debtors,Mar_17_Share_Capital,Mar_17_Unsecured_Loan,Mar_16_Net_Worth,Mar_14_Current_Liabilities,Mar_15_Sundry_Debtors,Mar_13_Current_Liabilities,Mar_16_Total_Assests,Mar_17_Net_Block,Mar_17_Reserves_Surplus,Mar_15_Depreciation,Mar_14_Investments,Mar_14_Gross_Block,Mar_18_Provisions,Mar_18_Total_Current_Assets,Mar_18_Loans_And_Advances,Mar_18_Misc_Expenses,Mar_18_Gross_Block,Mar_18_Net_Worth,Mar_18_Investments,Mar_18_Current_Liabilities,Mar_18_Unsecured_Loan,Mar_18_Secured_Loan,Mar_18_Depreciation,Mar_18_Capital_Work_In_Progress,Mar_18_Sundry_Debtors,Mar_18_Net_Block,Mar_18_Total_Liabilities,Mar_18_Cash_and_Bank,Mar_18_Reserves_Surplus,Mar_18_Share_Capital,Mar_18_Inventories,Mar_18_Total_Assests,Mar_18_Total_Current Liabilities,Mar_18_Net_Current_Assessts,Dec_17_Misc_Expenses,Dec_16_Misc_Expenses,Dec_16_Capital_Work_In_Progress,Dec_16_Share_Capital,Dec_17_Gross_Block,Dec_16_Inventories,Dec_13_Loans_And_Advances,Dec_15_Net_Worth,Dec_13_Reserves_Surplus,Dec_13_Sundry_Debtors,Dec_17_Secured_Loan,Dec_14_Loans_And_Advances,Dec_17_Net_Current_Assessts,Dec_15_Total_Assests,Dec_14_Capital_Work_In_Progress,Dec_15_Misc_Expenses,Dec_17_Reserves_Surplus,Dec_17_Investments,Dec_14_Total_Liabilities,Dec_17_Unsecured_Loan,Dec_16_Total_Current Liabilities,Dec_17_Sundry_Debtors,Dec_13_Cash_and_Bank,Dec_15_Reserves_Surplus,Dec_13_Net_Block,Dec_17_Net_Block,Dec_13_Inventories,Dec_15_Capital_Work_In_Progress,Dec_17_Loans_And_Advances,Dec_13_Net_Current_Assessts,Dec_14_Total_Current Liabilities,Dec_16_Gross_Block,Dec_17_Capital_Work_In_Progress,Dec_13_Investments,Dec_15_Cash_and_Bank,Dec_14_Inventories,Dec_14_Secured_Loan,Dec_14_Net_Block,Dec_16_Net_Current_Assessts,Dec_13_Depreciation,Dec_17_Total_Liabilities,Dec_14_Net_Worth,Dec_17_Share_Capital,Dec_17_Inventories,Dec_14_Total_Assests,Dec_14_Net_Current_Assessts,Dec_16_Sundry_Debtors,Dec_13_Share_Capital,Dec_13_Total_Liabilities,Dec_16_Net_Block,Dec_14_Misc_Expenses,Dec_15_Current_Liabilities,Dec_14_Gross_Block,Dec_16_Loans_And_Advances,Dec_13_Capital_Work_In_Progress,Dec_14_Reserves_Surplus,Dec_14_Depreciation,Dec_14_Unsecured_Loan,Dec_15_Secured_Loan,Dec_13_Net_Worth,Dec_14_Cash_and_Bank,Dec_15_Unsecured_Loan,Dec_16_Current_Liabilities,Dec_17_Provisions,Dec_17_Total_Assests,Dec_15_Gross_Block,Dec_16_Unsecured_Loan,Dec_17_Net_Worth,Dec_15_Depreciation,Dec_15_Total_Current_Assets,Dec_14_Provisions,Dec_16_Investments,Dec_17_Total_Current_Assets,Dec_16_Reserves_Surplus,Dec_15_Net_Current_Assessts,Dec_15_Total_Liabilities,Dec_17_Current_Liabilities,Dec_13_Secured_Loan,Dec_14_Investments,Dec_16_Cash_and_Bank,Dec_15_Investments,Dec_15_Provisions,Dec_16_Total_Current_Assets,Dec_16_Provisions,Dec_14_Share_Capital,Dec_16_Total_Assests,Dec_13_Total_Current Liabilities,Dec_14_Total_Current_Assets,Dec_13_Current_Liabilities,Dec_14_Current_Liabilities,Dec_15_Net_Block,Dec_15_Loans_And_Advances,Dec_15_Total_Current Liabilities,Dec_14_Sundry_Debtors,Dec_13_Misc_Expenses,Dec_13_Total_Current_Assets,Dec_13_Unsecured_Loan,Dec_15_Sundry_Debtors,Dec_17_Depreciation,Dec_17_Cash_and_Bank,Dec_17_Total_Current Liabilities,Dec_15_Share_Capital,Dec_13_Total_Assests,Dec_13_Provisions,Dec_16_Total_Liabilities,Dec_15_Inventories,Dec_16_Depreciation,Dec_13_Gross_Block,Dec_16_Secured_Loan,Dec_16_Net_Worth
ABAN,0.0,55.5,225.2,4526.24,48.07,0.0,3931.95,167.14,2058.13,0.0,934.31,3931.95,298.51,0.0,1721.82,292.67,2179.85,149.38,1384.9,2618.23,328.8,877.59,957.36,55.25,0.0,2850.15,583.73,2011.53,2615.9,-211.01,0.0,1469.92,750.79,792.51,18.69,732.99,3863.77,20.27,32.5,1082.71,216.76,99.57,3550.93,1851.04,3174.18,884.6,667.84,90.64,91.47,2730.17,1132.51,3148.66,340.0,47.96,0.0,289.7,3550.93,0.0,1302.79,292.0,-45.62,520.8,718.36,1339.29,86.99,2103.0,1384.9,4598.8,554.26,369.79,60.02,3174.18,52.67,4598.8,2619.72,44.97,75.91,1666.43,0.0,0.0,9.29,1075.81,59.52,727.19,103.96,4368.98,24.85,464.45,99.36,1953.63,1302.79,2105.38,765.27,302.73,1484.15,835.93,229.81,455.9,292.67,0.0,4156.44,709.77,285.35,615.17,4526.24,1802.65,4076.31,1100.77,2549.26,1911.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,67.78,42.38,1498.44,940.25,1052.83,3008.55,2635.18,3235.72,0.0,1096.41,2005.27,3608.55,31.93,0.0,3564.51,270.62,3183.05,4.14,3846.09,2787.78,316.58,2966.17,1391.51,1218.66,988.85,44.28,1849.3,1842.12,3638.6,2021.41,116.48,16.55,573.59,893.82,0.0,1399.54,2543.82,429.87,3611.03,2811.98,42.38,1153.55,3183.05,1735.11,3063.33,42.38,3297.67,1254.91,0.0,3373.96,1915.92,1197.17,47.49,2769.6,516.38,371.07,0.0,2677.56,225.96,600.0,3398.45,357.2,3611.03,1948.84,600.04,3606.89,650.42,6049.74,352.37,16.31,7282.29,3240.4,2249.46,3608.55,4919.82,0.0,16.47,1189.16,16.39,426.32,6389.91,447.64,42.38,3882.82,3751.86,5373.71,3482.7,3286.23,1298.42,1145.65,3800.28,3157.52,0.0,5593.98,620.11,3390.93,279.78,1491.66,5277.02,42.38,3297.67,269.16,3882.82,939.57,766.5,1821.38,0.0,3282.78
ABBOTINDIA,98.55,161.21,,1195.6,839.42,0.0,937.53,1271.07,192.06,0.0,0.0,937.53,21.25,,,21.25,787.85,13.25,420.91,0.0,21.25,182.16,96.04,,0.0,916.28,,,0.0,688.33,0.0,1949.93,0.0,436.1,3.91,252.91,1174.35,,0.0,,,370.1,,766.6,787.85,,,,500.63,,1273.68,937.53,837.58,,1.27,,,0.0,561.25,109.18,1084.31,,116.51,1505.22,102.14,121.71,322.36,1386.94,1039.67,0.0,0.0,787.85,,1386.94,0.0,1090.92,462.84,,2.83,117.61,6.28,88.44,183.2,150.67,384.13,1386.94,643.89,145.02,365.51,108.46,678.86,137.32,351.34,27.73,,98.25,0.0,176.22,21.25,0.0,1195.6,190.13,129.15,,1195.6,109.6,1365.69,96.02,0.0,186.69,132.81,2332.64,452.52,0.0,120.71,1692.76,0.0,590.61,0.0,0.0,39.33,2.17,263.44,81.38,1692.76,1031.35,1671.51,21.25,585.33,1692.76,723.43,1609.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABFRL,83.67,15.38,6.98,2419.61,20.32,0.0,1581.2,477.74,2088.27,0.0,715.46,1581.2,93.3,0.0,-77.8,773.13,579.47,1072.81,2198.83,0.0,93.3,594.11,1579.35,987.2,0.0,252.27,1637.26,769.53,0.0,-69.08,763.59,2523.69,637.65,557.65,3.77,535.45,170.57,13.55,597.98,236.57,-197.54,1388.1,2253.27,486.17,1594.93,431.47,629.01,324.87,1431.25,800.0,555.73,345.57,-1.92,19.23,24.85,847.33,2253.27,0.0,2045.95,17.0,72.55,80.39,117.73,2271.38,103.05,3394.52,2115.16,2989.89,489.22,712.32,300.0,1594.93,5.1,2989.89,0.09,44.46,10.82,1873.83,25.35,0.0,25.0,343.31,22.2,472.02,427.33,958.67,7.2,390.94,358.35,2321.71,2045.95,2732.46,558.3,245.4,496.54,1633.17,19.88,453.87,771.04,2011.34,943.7,542.92,3.47,623.91,2419.61,2487.06,187.63,508.92,5.99,1976.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMINTLTD,3.48,2.66,29.09,38.78,9.99,0.0,44.74,25.72,3.9,0.0,33.47,44.74,1.96,0.0,13.15,1.96,15.54,2.1,5.58,2.75,1.96,6.4,1.99,0.0,0.0,14.17,2.08,15.11,2.75,44.26,0.0,31.91,28.6,4.0,0.0,1.0,14.88,0.0,0.0,1.58,59.23,0.0,63.86,13.58,49.0,62.59,3.36,0.0,3.39,2.55,43.99,16.13,40.0,25.17,0.0,1.96,63.86,0.0,2.46,20.51,34.23,8.32,8.59,39.81,8.03,3.9,2.1,30.34,47.87,21.94,0.0,49.0,2.42,30.34,2.75,6.08,19.33,3.66,0.0,3.73,0.0,1.63,3.0,10.35,0.0,17.46,12.8,19.46,0.0,1.8,6.19,4.01,3.62,2.14,48.74,2.0,12.88,16.04,11.76,0.0,16.84,0.95,22.61,0.94,38.78,1.87,5.7,1.9,2.75,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,260.82,187.99,8473.55,1223.75,1553.93,8443.04,7636.89,397.22,0.0,1614.73,1691.74,8478.54,1914.63,0.0,9177.47,230.15,8235.61,59.17,4726.01,668.2,503.38,8255.09,5503.96,7241.02,1121.47,2370.96,2388.41,-692.75,4435.72,14011.38,261.72,2194.02,91.6,1255.59,0.0,5598.39,-815.95,4836.43,9424.63,8235.61,187.99,1403.95,8235.61,-850.39,467.73,187.95,7824.84,7462.38,0.0,3603.09,10892.28,1943.0,819.61,8047.66,5293.89,0.0,0.0,7824.84,304.3,35.5,3988.18,193.22,9424.63,11293.68,50.02,9365.46,6008.7,3709.18,1053.21,1804.21,7155.96,8473.45,-653.1,8478.54,5271.0,0.0,1572.98,275.58,1475.7,759.19,3910.06,737.83,187.95,8711.46,4268.75,3585.33,3098.91,3382.51,5284.98,1944.63,4362.28,410.71,0.0,3576.0,0.0,484.35,1232.53,2695.4,5464.22,187.95,7824.84,1169.84,8711.46,1188.6,6549.0,10340.39,0.0,8661.44
ACE,10.07,3.43,83.34,442.75,10.54,0.0,430.49,81.72,339.84,0.0,141.49,430.49,19.79,0.0,226.26,53.68,308.02,71.85,198.36,20.74,19.79,114.11,216.56,0.0,0.0,235.84,193.78,303.41,17.95,164.6,0.0,344.27,117.56,197.65,5.79,189.04,256.29,9.53,0.0,42.57,175.8,123.35,452.82,230.92,449.51,344.31,168.51,143.35,113.17,16.36,330.53,312.93,132.88,16.56,2.11,19.79,452.82,0.0,243.29,68.28,115.07,101.05,97.33,313.43,94.49,378.13,188.29,436.19,336.96,106.39,0.0,449.51,5.91,409.81,22.41,12.58,13.65,293.71,0.67,19.26,5.95,60.61,8.61,98.21,141.24,347.36,11.34,81.33,160.54,279.89,262.55,395.82,172.36,96.09,149.41,210.86,62.46,104.41,53.68,0.0,336.36,168.93,80.61,162.6,442.75,299.73,267.3,65.98,14.62,328.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENT,39.14,191.99,,9592.32,147.07,0.0,15448.41,5646.22,1138.63,0.0,2734.97,15448.41,109.98,,,109.98,10034.27,151.29,4804.86,1082.43,109.98,5891.89,897.67,,0.0,10168.08,,,6954.42,8317.93,2873.26,9774.1,3020.35,7193.05,270.37,6993.67,3450.32,,2150.0,,,530.38,,9924.29,16048.35,,,,594.56,,14519.0,10278.06,7325.95,,254.86,,,0.0,4084.25,3113.02,6575.45,,9901.07,11380.31,10384.25,1234.58,4765.72,10530.4,14826.66,3158.76,3279.11,16048.35,,10530.4,3091.2,364.21,260.88,,851.15,43.63,630.97,170.2,199.38,8060.89,584.92,3767.18,238.25,2641.97,1068.51,1083.29,4127.88,1246.32,6508.73,84.31,,923.97,6763.22,2923.44,109.98,0.0,3560.3,6316.74,3794.76,,9592.32,1162.01,3657.2,240.96,6551.59,1094.17,45.44,10725.02,6270.57,0.0,1391.65,3908.4,3008.97,4888.49,0.0,6568.33,138.25,423.27,2635.37,1253.4,10476.73,524.66,3798.42,109.98,1294.42,10476.73,4933.93,5791.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,51.22,585.18,,26946.67,937.62,0.0,21007.15,15964.73,11263.26,0.0,8246.24,21007.15,416.82,,,414.19,9335.89,575.04,4182.54,5312.87,416.82,15122.57,8461.92,,0.0,10786.34,,,4965.15,6617.67,0.0,18989.67,8639.24,4799.95,663.19,4132.21,13151.62,,1164.75,,,124.82,,8919.07,17602.66,,,,523.0,,11716.84,11203.16,6916.89,,661.49,,,0.0,2977.26,829.42,12253.63,,10292.57,16436.17,8547.11,9098.61,4131.32,36222.79,9919.39,13380.86,20.53,17602.66,,36222.79,10410.39,1552.01,399.83,,856.6,47.68,1458.08,2216.72,667.74,14192.47,179.46,16948.97,495.83,1181.26,143.03,8523.57,3024.94,9467.99,3301.72,1078.4,,8537.24,6529.62,1792.09,498.31,12744.2,13565.81,2716.54,748.98,,26946.67,8389.59,16450.66,2801.34,1786.26,10753.96,46.08,20707.71,15784.93,0.0,9484.61,18374.95,10542.33,2949.34,12542.38,6920.86,1527.95,1626.91,3286.28,7956.66,37838.19,1273.09,17869.07,505.88,363.41,37838.19,2995.42,17712.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,11.68,610.37,,33055.66,429.5,0.0,28653.79,-579.01,23962.49,0.0,15493.74,28653.79,2871.92,,,3333.94,7787.16,1648.76,12487.04,7662.08,2871.92,8064.04,20111.28,,0.0,4844.23,,,5627.43,575.13,10866.87,11230.96,12589.27,9072.57,47.57,8746.0,5690.26,,8348.37,,,830.86,,4915.24,30104.36,,,,1084.83,,11940.08,7716.15,2867.51,,146.4,,,0.0,11797.57,275.23,1557.76,,9140.29,14044.8,7660.28,25445.66,12475.36,29947.51,9249.78,13164.59,6823.46,30104.36,,29947.51,7740.39,337.63,412.79,,38.92,12.4,68.48,3391.61,326.57,7549.91,982.04,4673.32,369.05,5234.53,901.48,23796.9,11809.97,25481.72,8674.65,2764.07,,24466.84,15341.05,1744.46,3856.94,9933.14,9024.2,8064.28,1448.7,,33055.66,22717.65,816.38,3851.21,4915.99,27858.45,3.35,11291.7,10964.26,0.0,757.44,9539.13,7768.08,627.72,9300.19,231.82,115.19,0.18,41.72,642.25,19071.14,211.03,5682.19,3856.94,74.69,19071.14,631.07,10660.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANITRANS,4.18,0.0,,7409.45,101.71,0.0,3699.33,5981.38,0.0,0.0,0.0,3699.33,1090.0,,,1099.81,0.05,0.03,211.12,3685.78,0.05,6510.21,0.0,,0.0,-17.93,,,3683.13,0.05,2468.31,6963.98,0.0,11.79,0.0,4.06,1149.05,,2627.26,,,4.68,,0.0,0.05,,,,4.69,,27.99,1072.07,16.2,,0.0,,,0.0,982.1,0.0,3722.97,,1.66,3934.09,0.0,0.73,206.94,9796.74,0.05,2692.28,0.0,0.05,,9796.74,3814.7,338.03,0.05,,0.0,0.5,0.0,0.0,7.73,3750.89,0.0,2120.99,0.44,76.81,0.0,0.7,982.6,0.74,0.0,0.08,,0.0,6755.47,111.05,1099.81,920.28,2248.86,0.0,25.89,,7409.45,0.66,1021.18,0.0,0.0,0.0,0.3,8463.41,7911.59,0.0,0.74,2004.14,3782.69,1171.64,1010.65,8059.95,0.16,0.0,29.34,0.58,11074.74,519.45,904.33,1099.81,3.03,11074.74,1171.94,7291.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADFFOODS,2.23,5.65,33.34,195.02,7.85,0.0,183.13,66.02,106.43,0.0,15.1,183.13,22.38,0.0,133.26,22.38,164.49,33.6,23.62,65.51,22.38,21.75,75.8,0.0,0.0,153.42,71.69,155.64,26.31,66.29,0.0,89.07,7.33,25.25,1.69,19.82,167.0,0.1,0.0,23.64,73.0,24.6,181.08,142.11,179.59,93.51,20.51,20.35,26.5,36.29,104.58,175.8,79.33,7.83,8.51,22.38,181.08,0.0,21.05,28.18,59.09,31.98,40.2,82.71,29.02,103.78,21.38,200.27,91.55,5.64,0.0,179.59,6.32,200.27,66.5,9.45,12.07,95.33,0.23,2.0,0.88,26.74,5.43,19.33,23.6,195.73,9.95,30.92,22.29,70.18,23.05,104.6,25.26,37.73,25.44,66.84,4.54,31.37,21.58,0.0,189.38,19.61,30.83,14.19,195.02,66.87,174.15,30.63,37.96,93.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADHUNIK,0.33,0.2,79.83,168.38,7.17,0.0,198.79,137.52,81.42,0.0,95.98,198.79,46.76,0.0,38.69,46.76,89.8,29.81,102.07,0.04,46.76,38.23,55.05,18.14,0.0,53.66,57.99,85.45,0.04,139.25,0.25,221.55,92.9,100.3,1.61,99.27,55.93,5.77,5.47,19.16,142.93,81.19,206.73,43.04,197.47,192.56,49.63,71.75,88.08,0.04,242.39,100.42,142.09,5.95,2.53,46.76,206.73,0.0,83.63,77.78,111.04,35.03,37.31,213.11,33.7,87.11,101.74,191.69,194.07,65.44,11.69,197.47,0.18,191.69,0.04,7.37,11.06,77.15,0.0,0.4,0.0,22.89,1.03,42.44,121.87,105.0,7.95,82.31,71.53,57.3,84.02,87.65,54.82,33.52,103.14,55.65,86.45,87.86,46.76,0.25,102.69,54.62,75.25,49.45,168.38,54.13,58.23,26.37,0.04,78.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADHUNIKIND,0.33,0.2,79.83,168.38,7.17,0.0,198.79,137.52,81.42,0.0,95.98,198.79,46.76,0.0,38.69,46.76,89.8,29.81,102.07,0.04,46.76,38.23,55.05,18.14,0.0,53.66,57.99,85.45,0.04,139.25,0.25,221.55,92.9,100.3,1.61,99.27,55.93,5.77,5.47,19.16,142.93,81.19,206.73,43.04,197.47,192.56,49.63,71.75,88.08,0.04,242.39,100.42,142.09,5.95,2.53,46.76,206.73,0.0,83.63,77.78,111.04,35.03,37.31,213.11,33.7,87.11,101.74,191.69,194.07,65.44,11.69,197.47,0.18,191.69,0.04,7.37,11.06,77.15,0.0,0.4,0.0,22.89,1.03,42.44,121.87,105.0,7.95,82.31,71.53,57.3,84.02,87.65,54.82,33.52,103.14,55.65,86.45,87.86,46.76,0.25,102.69,54.62,75.25,49.45,168.38,54.13,58.23,26.37,0.04,78.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADLABS,3.07,1.6,0.0,1620.24,20.26,0.0,1832.81,110.25,1448.49,0.0,944.03,1832.81,79.9,0.0,263.15,79.9,313.64,188.95,68.24,106.17,48.46,185.25,1342.61,57.01,0.0,629.57,248.01,309.03,0.41,59.22,46.19,209.41,1064.34,171.2,130.71,168.52,537.05,818.95,59.01,0.0,30.17,12.37,1097.13,265.18,1453.68,87.25,57.07,0.0,13.38,0.0,530.28,709.47,359.08,29.74,100.09,45.87,1097.13,0.0,95.74,0.63,132.26,57.51,120.3,200.5,64.61,1509.63,65.16,1543.02,105.77,957.11,196.01,1453.68,1.35,1543.02,106.17,7.2,35.58,248.01,61.14,3.42,95.4,31.01,2.68,164.1,10.52,499.76,393.57,3.77,4.95,1320.67,99.16,1509.43,46.55,278.22,731.09,1294.37,986.82,3.58,79.9,56.44,616.94,44.95,5.89,55.72,1620.24,1231.2,419.86,105.88,0.0,1325.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADORWELD,20.07,25.67,,218.48,14.13,0.0,204.14,153.58,226.26,0.0,0.0,204.14,13.6,,,13.6,180.9,137.83,118.04,12.15,13.6,115.02,95.94,,0.0,190.41,,,6.55,90.78,0.0,260.63,0.0,81.31,1.6,63.61,204.88,,0.13,,,42.99,,167.3,181.67,,,,47.75,,181.36,204.01,100.05,,1.76,,,0.0,97.21,78.1,106.23,,35.26,224.27,37.54,236.57,97.97,272.87,186.89,0.0,0.77,181.67,,272.87,14.18,21.53,21.35,,1.36,9.84,13.42,147.45,17.7,47.51,43.04,237.4,19.83,119.64,49.9,98.74,107.05,233.11,96.11,141.42,,75.28,35.47,76.33,13.6,0.0,218.48,70.44,83.23,,218.48,91.69,223.8,130.32,13.85,222.73,4.35,321.51,158.2,0.0,240.49,247.71,5.97,97.21,0.0,81.2,147.44,9.94,92.04,93.05,328.91,17.43,234.11,13.6,53.84,328.91,101.56,219.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADSL,5.47,4.35,220.82,549.24,11.6,0.0,782.75,177.5,323.33,0.0,93.8,782.75,24.6,0.0,654.11,25.1,690.02,130.53,56.69,154.38,23.09,59.6,203.19,2.18,0.0,650.0,250.16,677.21,152.45,355.82,14.86,253.45,100.46,47.1,37.69,43.82,426.69,44.93,7.69,60.58,325.22,33.94,772.24,666.93,789.91,378.82,53.6,38.01,32.96,151.93,436.51,674.6,389.42,10.57,37.69,23.09,772.24,0.0,64.62,233.22,173.27,109.43,108.96,229.96,108.49,314.43,51.23,540.5,394.57,82.59,6.09,789.91,3.0,540.5,154.79,12.13,14.19,310.74,37.69,11.33,83.83,79.52,3.27,56.14,37.9,449.67,7.58,128.27,38.68,183.9,75.95,253.55,38.75,129.17,92.85,243.93,68.85,148.76,25.1,21.98,451.79,34.4,282.07,50.6,549.24,124.38,424.57,120.14,152.46,323.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
